Seaweed;200;;Island Also;Large, stationary;January-July, November-December;All Day;
Sea grapes;600;;Island Also;Small, stationary;June-September;All Day;
Sea urchin;800;;Island Also;Small, stationary;May-September;All Day;
Acorn barnacle;200;;Island Also;Very small, stationary;All year;All Day;
Oyster;400;;;Small, stationary;September-February;All Day;
Turban shell;300;;;Small, slow;August-June;4PM - 9AM;
Abalone;400;;Island Also;Medium, slow;All year;4PM - 9AM;
Ear shell;300;;Island Also;Small, slow;All year;4PM - 9AM;
Clam;300;;;Small, slow;September-April;All Day;
Pearl oyster;1600;;;Small, stationary;All year;All Day;
Scallop;1000;;Island Also;Medium, erratic;All year;All Day;
Sea anemone;100;;Island Also;Medium, stationary;All year;All Day;
Sea star;100;;Island Also;Small, slow;All year;All Day;
Sea cucumber;150;;;Medium, slow;November-April;All Day;
Sea slug;200;;Island Also;Small, slow;All year;All Day;
Flatworm;200;;Island Also;Small, slow;June-September;4PM - 9AM;
Mantis shrimp;1250;;Island Also;Small, erratic;All year;4PM - 9AM;
Sweet shrimp*;650;;;Small, erratic;September-February;4PM - 9AM;
Tiger prawn;1600;;Island Also;Small, slow;June-September;4PM - 9AM;
Spiny lobster*;3000;;;Large, erratic;September-December;9PM - 4AM;
Lobster;2500;;;Large, fast;All year;All Day;
Snow crab;4000;;;Large, slow;November-April;All Day;
Horsehair crab;4000;;;Medium;November-April;All Day;
Red king crab;6000;;;Large, fast;November-March;All Day;
Spider crab;12000;;;Huge, fast/challenging to catch;March-April;All Day;
Octopus;1000;;Island Also;Large, fast;March-July, September-January;All Day;
Spotted garden eel;600;;Island Only;Small, stationary;All year;All Day;
Chambered nautilus;900;;Island Only;Medium, slow;June-August;All Day;
Horseshoe crab;1500;;;Medium, slow;July-September;9PM - 4AM;
Giant isopod;9000;;Island Only;Medium, slow;All year;All Day;
